Date,Open,High,Low,Close,Adj Close,Volume
2011-03-01,29.487179,30.041025,26.882051,28.512821,25.322222,12863766
2011-04-01,28.461538,31.497437,28.246155,31.261538,27.763357,4211029
2011-05-01,31.487179,31.887178,28.728205,30.153847,26.779615,9319056
2011-06-01,30.441027,31.435898,29.671795,30.092308,26.724962,7280525
2011-07-01,30.317949,30.523077,26.235897,27.887178,24.766590,18682858
2011-08-01,27.558973,28.051283,25.148718,27.097437,24.065220,9954853
2011-09-01,26.820513,27.107693,24.482052,26.410255,23.454935,7200185
2011-10-01,26.287180,30.656410,25.558973,29.507692,26.205767,4129325
2011-11-01,28.430769,31.794872,28.133333,30.861538,27.408117,8378277
2011-12-01,30.789743,32.123077,28.441027,28.574360,25.376875,3590833
2012-01-01,29.107693,34.707691,28.400000,34.400002,30.550623,7811219
2012-02-01,34.861538,36.030769,33.682053,34.379486,30.532404,5460785
2012-03-01,35.179485,37.333332,33.876923,37.210255,33.046410,4839709
2012-04-01,36.964104,38.071796,33.815384,34.533333,30.669033,6419015
2012-05-01,35.117950,36.697437,30.482052,31.487179,27.963749,4852385
2012-06-01,30.605127,32.153847,29.528206,31.179487,27.690487,5423149
2012-07-01,31.076923,31.528206,28.369230,30.215385,26.834269,5388145
2012-08-01,30.553846,32.676922,29.528206,31.835897,28.273445,2841448
2012-09-01,32.389744,33.958973,31.517948,33.076923,29.375599,6738523
2012-10-01,33.487179,34.974358,32.656410,33.076923,29.375599,4212591
2012-11-01,33.507690,36.676922,33.035896,35.312820,31.361298,8835553
2012-12-01,35.805126,37.128204,34.830769,35.158974,33.304546,5374985
2013-01-01,35.897434,41.446156,35.292309,39.948719,37.841656,9638077
2013-02-01,41.641026,42.728207,38.882050,39.651283,37.559910,7570976
2013-03-01,39.897434,44.389744,39.702564,42.851280,40.591125,6321808
2013-04-01,42.984615,45.630768,41.353848,44.451283,42.106735,5781853
2013-05-01,44.553844,50.912823,43.958973,50.133331,47.489090,6199443
2013-06-01,50.748718,52.902565,49.579487,52.851280,50.063686,6965505
2013-07-01,53.456409,56.143589,51.958973,52.841026,50.053970,5174233
2013-08-01,53.784615,55.630768,48.338463,48.676922,46.109501,5600403
2013-09-01,49.805126,52.461536,42.123077,51.015385,48.324623,11156051
2013-10-01,51.282051,53.128204,49.035896,51.497437,48.781246,6259503
2013-11-01,50.748718,52.000000,43.774361,49.261539,46.663284,14213750
2013-12-01,49.158974,49.979488,46.297436,48.133331,45.594578,6756950
2014-01-01,48.092308,52.410255,47.907692,48.461536,45.905476,5206700
2014-02-01,51.692307,58.820515,49.333332,58.215385,55.144863,7565128
2014-03-01,57.630768,60.512821,55.969231,60.317947,57.136528,8662100
2014-04-01,60.430771,62.051281,54.143589,54.851280,51.958195,5534886
2014-05-01,54.933334,58.984615,50.923077,58.317947,55.242016,6121055
2014-06-01,58.574360,60.143589,54.574360,57.230770,54.212181,4762588
2014-07-01,57.271793,57.938461,52.348717,54.348717,51.482140,4787449
2014-08-01,54.420513,57.712822,51.733334,56.307693,53.337795,5305761
2014-09-01,57.692307,60.153847,55.764103,57.876923,54.824253,5420712
2014-10-01,56.625641,58.287178,50.974358,56.964104,53.959583,5156195
2014-11-01,60.994873,65.805130,59.856411,64.502563,61.100430,7563080
2014-12-01,64.861542,73.630768,63.548717,73.097435,69.241974,7177662
2015-01-01,72.615387,72.738464,65.456413,67.671799,64.102509,6611772
2015-02-01,65.220512,67.107689,62.533333,64.974358,61.547340,5911722
2015-03-01,65.087181,69.333336,63.661537,68.482048,67.106201,6642679
2015-04-01,68.994873,69.538460,65.282051,66.512817,65.176529,5575056
2015-05-01,68.564102,70.287178,65.128204,68.307693,66.935349,12445491
2015-06-01,68.594872,75.835899,67.887177,73.179489,71.709267,7501558
2015-07-01,75.282051,77.138458,72.133331,76.010254,74.483162,7309871
2015-08-01,76.717949,78.287178,70.861542,74.820511,73.317322,6475663
2015-09-01,73.958977,84.830772,73.415382,80.307693,78.694260,9392569
2015-10-01,80.000000,83.794868,76.758972,78.190002,76.619118,9756202
2015-11-01,81.500000,85.559998,76.480003,76.900002,76.900002,8567900
2015-12-01,77.169998,88.239998,76.870003,86.459999,86.459999,8337800
2016-01-01,84.500000,87.300003,76.239998,78.349998,78.349998,10168500
2016-02-01,82.320000,84.870003,73.199997,83.169998,83.169998,11310500
2016-03-01,83.559998,86.940002,79.120003,85.820000,85.820000,7990500
2016-04-01,85.360001,86.849998,79.559998,80.949997,80.949997,7095100
2016-05-01,81.309998,87.580002,76.389999,87.400002,87.400002,7599000
2016-06-01,86.650002,89.669998,66.089996,69.540001,69.540001,18434500
2016-07-01,70.629997,72.739998,67.080002,70.769997,70.769997,9986200
2016-08-01,70.290001,74.110001,69.019997,72.610001,72.610001,8449100
2016-09-01,73.599998,80.190002,73.190002,75.029999,75.029999,8983300
2016-10-01,74.500000,76.129997,67.559998,75.089996,75.089996,9149500
2016-11-01,75.529999,84.040001,74.610001,79.839996,79.839996,8229500
2016-12-01,80.040001,85.580002,79.510002,83.260002,83.260002,5260800
2017-01-01,81.690002,85.620003,79.480003,83.660004,83.660004,5485300
2017-02-01,84.449997,85.949997,80.070000,81.750000,81.750000,4727000
2017-03-01,83.040001,85.870003,78.349998,82.980003,82.980003,8120500
2017-04-01,83.279999,93.529999,82.489998,91.930000,91.930000,3470900
2017-05-01,92.150002,108.339996,91.830002,106.739998,106.739998,5121500
2017-06-01,107.029999,110.820000,105.730003,107.610001,107.610001,4835800
2017-07-01,108.150002,116.010002,107.330002,113.330002,113.330002,7156800
2017-08-01,115.000000,122.680000,110.730003,113.699997,113.699997,3832500
2017-09-01,115.070000,117.010002,101.300003,105.419998,105.419998,5792000
2017-10-01,105.750000,112.790001,102.309998,112.110001,112.110001,9263800
2017-11-01,113.919998,127.349998,109.400002,121.940002,121.940002,9229800
2017-12-01,123.809998,123.809998,101.099998,104.190002,104.190002,9549200
2018-01-01,106.010002,124.169998,104.919998,122.709999,122.709999,7317400
2018-02-01,121.480003,125.220001,112.500000,121.260002,121.260002,8632000
2018-03-01,121.230003,127.610001,116.650002,122.849998,122.849998,5922900
2018-04-01,122.589996,124.680000,109.839996,109.970001,109.970001,4914600
2018-05-01,111.449997,121.449997,108.089996,115.910004,115.910004,5962100
2018-06-01,117.599998,120.860001,111.330002,114.230003,114.230003,6714400
2018-07-01,113.370003,118.760002,103.480003,105.400002,105.400002,6698400
2018-08-01,102.779999,103.879997,94.500000,101.870003,101.870003,12472000
2018-09-01,99.269997,99.889999,94.250000,96.040001,96.040001,7833200
2018-10-01,84.309998,85.410004,77.970001,82.800003,82.800003,17921800
2018-11-01,84.570000,89.029999,76.919998,82.330002,82.330002,11286600
2018-12-01,82.900002,83.580002,67.559998,71.339996,71.339996,8123500
2019-01-01,69.720001,73.550003,65.610001,71.000000,71.000000,20856300
2019-02-01,72.389999,75.940002,69.370003,74.540001,74.540001,12558800
2019-03-01,77.300003,77.930000,71.040001,74.940002,74.940002,11996800
2019-04-01,71.510002,84.120003,71.099998,77.639999,77.639999,12254400
2019-05-01,77.959999,79.410004,65.139999,65.220001,65.220001,19383500
2019-06-01,65.250000,67.930000,60.830002,64.139999,64.139999,20148200
2019-07-01,64.459999,68.139999,61.230000,62.130001,62.130001,11753700
2019-08-01,61.869999,62.520000,55.750000,57.299999,57.299999,12097300
2019-09-01,57.000000,66.800003,56.820000,66.379997,66.379997,11015900
2019-10-01,67.300003,76.139999,64.889999,74.639999,74.639999,10967400
2019-11-01,74.970001,87.059998,74.970001,83.320000,83.320000,7814900
2019-12-01,83.709999,88.349998,81.919998,87.610001,87.610001,6782200
2020-01-01,88.349998,96.790001,85.889999,86.610001,86.610001,9257200
2020-02-01,92.199997,95.199997,71.419998,71.680000,71.680000,14265400
2020-03-01,71.099998,73.959999,44.439999,53.090000,53.090000,32465800
2020-04-01,52.000000,65.220001,49.730000,63.470001,63.470001,13071400
2020-05-01,59.500000,72.379997,48.610001,71.769997,71.769997,16673000
2020-06-01,72.650002,82.110001,63.910000,66.339996,66.339996,14711300
2020-07-01,66.160004,77.269997,63.849998,75.000000,75.000000,12688300
2020-08-01,75.000000,88.029999,73.870003,80.900002,80.900002,8496600
2020-09-01,79.430000,89.070000,77.089996,81.760002,81.760002,15751300
2020-10-01,82.010002,90.529999,79.239998,80.599998,80.599998,8288800
2020-11-01,83.750000,109.650002,81.089996,103.769997,103.769997,13269300
2020-12-01,106.160004,118.169998,102.709999,109.980003,109.980003,11301200
2021-01-01,110.620003,110.790001,94.680000,95.070000,95.070000,9098600
2021-02-01,97.919998,114.150002,95.089996,107.519997,107.519997,10308000
2021-03-01,110.430000,117.080002,102.660004,115.000000,115.000000,11231400
2021-04-01,116.000000,118.500000,100.309998,116.849998,116.849998,6278600
2021-05-01,117.970001,121.400002,110.720001,116.750000,116.750000,5000700
2021-06-01,117.660004,121.629997,105.000000,108.209999,108.209999,4740900
2021-07-01,110.139999,112.879997,96.449997,109.040001,109.040001,5919300
2021-08-01,109.879997,112.000000,104.180000,107.699997,107.699997,3971400
2021-09-01,108.379997,116.959999,103.550003,110.059998,110.059998,5894200
2021-10-01,112.080002,120.260002,107.750000,113.510002,113.510002,5096600
2021-11-01,113.510002,127.250000,95.059998,95.550003,95.550003,8247500
2021-12-01,100.860001,107.699997,95.150002,102.330002,102.330002,9022500
2022-01-01,103.349998,118.889999,102.269997,111.620003,111.620003,8410800
2022-02-01,112.160004,125.750000,96.989998,99.709999,99.709999,11550500
2022-03-01,95.739998,97.410004,74.120003,87.120003,87.120003,20406700
2022-04-01,85.589996,98.419998,81.949997,87.320000,87.320000,10152600
2022-05-01,86.620003,90.589996,79.110001,87.199997,87.199997,12039900
2022-06-01,87.040001,87.489998,65.309998,67.250000,67.250000,9627700
2022-07-01,67.449997,75.300003,65.070000,73.000000,73.000000,12856000
2022-08-01,73.989998,77.209999,69.150002,72.709999,72.709999,8230200
2022-09-01,70.559998,75.410004,56.950001,58.419998,58.419998,13621800
2022-10-01,58.200001,69.220001,55.900002,68.889999,68.889999,11645300
2022-11-01,69.279999,78.669998,65.930000,75.690002,75.690002,7848000
2022-12-01,77.000000,80.430000,73.500000,74.760002,74.760002,6498500
2023-01-01,75.989998,97.029999,73.970001,90.529999,90.529999,8013500
2023-02-01,93.050003,99.339996,90.120003,92.769997,92.769997,9372900
2023-03-01,94.059998,98.239998,93.129997,96.180000,96.180000,1615900
2023-03-08,96.050003,97.139999,95.879997,96.180000,96.180000,347472
